# Community 795iX3D SetupData changes relative to official DRFXI 1.12
#
# Source official 1.12 SHA-256:
#   246e7f54a12a8c7279ef68433602264b8ecbabcde828c9c9008f571c270845b9
# Community image SHA-256:
#   c63971eedd2e03005aaeba2786aa7834b38c8ac006978e9a011156ee61122b15
# Changed FFS GUID:
#   FE612B72-203C-47B1-8560-A66D946EB371 (AMITSESetupData)
#
# Offsets below are relative to the decompressed inner SetupData payload.
# Every change sets bit 0x04.
#
# offset    stock mod
0x003b20 01 05
0x003b60 01 05
0x010ea8 01 05
0x010f28 01 05
0x0111c0 01 05
0x011280 01 05
0x011938 01 05
0x0119b8 09 0d
0x011c68 01 05
0x011ce8 29 2d
0x011d30 09 0d
0x011d78 09 0d
0x0122d0 01 05
0x012350 01 05
0x012390 01 05
0x012490 01 05
0x0124d0 01 05
0x012510 01 05
0x012610 01 05
0x013c88 01 05
0x013d08 01 05
0x013d48 01 05
0x013dc8 09 0d
0x013e10 01 05
0x013e90 09 0d
0x013ed8 01 05
0x013f18 01 05
0x013f98 09 0d
0x013fe0 01 05
0x014060 29 2d
0x0140a8 29 2d
0x0147f8 01 05
0x014878 09 0d
0x015ff0 01 05
0x016070 29 2d
0x0160b8 29 2d
0x016100 09 0d
0x016148 29 2d
0x016190 09 0d
0x0161e0 09 0d
0x016228 09 0d
0x016278 09 0d
0x0162c0 09 0d
0x016310 09 0d
0x016358 09 0d
0x0163a8 09 0d
0x0163f0 09 0d
0x016440 09 0d
0x016488 09 0d
0x016eb0 09 0d
0x016ef8 09 0d
0x016f40 09 0d
0x016f90 09 0d
0x016fe0 09 0d
0x017030 09 0d
0x017080 09 0d
0x0170c8 09 0d
0x017110 09 0d
0x017158 09 0d
0x0171a0 09 0d
